1000
;;;Imported Bertec Force Plate #1 - Force;;;Imported Bertec Force Plate #1 - Moment;;;Imported Bertec Force Plate #1 - CoP;;;
Frame;Sub Frame;Tiempo;Fx;Fy;Fz;Mx;My;Mz;Cx;Cy;Cz
;;;N;N;N;N.mm;N.mm;N.mm;mm;mm;mm
229;3;0.203;13.7594;-1.983;-421.237;1417.21;31293.1;-351.129;274.289;296.636;0
229;4;0.204;13.7853;-2.01864;-420.407;1428.05;31296.1;-331.948;274.443;296.603;0
229;5;0.205;13.811;-2.05192;-419.561;1435.62;31298;-312.9;274.597;296.578;0
229;6;0.206;13.8365;-2.08288;-418.699;1439.84;31298.8;-294.071;274.752;296.561;0
229;7;0.207;13.862;-2.11155;-417.822;1440.67;31298.4;-275.549;274.909;296.552;0
229;8;0.208;13.8875;-2.138;-416.928;1438.06;31297;-257.422;275.066;296.551;0
229;9;0.209;13.913;-2.16225;-416.019;1431.98;31294.5;-239.778;275.224;296.558;0
230;0;0.21;13.9386;-2.18438;-415.095;1422.42;31291;-222.705;275.383;296.573;0
230;1;0.211;13.9641;-2.20444;-414.155;1409.36;31286.5;-206.291;275.543;296.597;0
230;2;0.212;13.9897;-2.22248;-413.199;1392.81;31280.9;-190.621;275.704;296.629;0
230;3;0.213;14.0152;-2.23857;-412.228;1372.79;31274.3;-175.78;275.867;296.67;0
230;4;0.214;14.0407;-2.25277;-411.243;1349.31;31266.7;-161.849;276.03;296.719;0
230;5;0.215;14.0659;-2.26514;-410.242;1322.42;31258.1;-148.908;276.194;296.776;0
230;6;0.216;14.091;-2.27575;-409.227;1292.18;31248.4;-137.033;276.36;296.842;0
230;7;0.217;14.1158;-2.28467;-408.198;1258.66;31237.7;-126.297;276.526;296.917;0
230;8;0.218;14.1403;-2.29194;-407.155;1221.92;31225.9;-116.767;276.693;296.999;0
230;9;0.219;14.1644;-2.29765;-406.097;1182.07;31213;-108.509;276.861;297.089;0
231;0;0.22;14.188;-2.30183;-405.027;1139.21;31198.9;-101.581;277.029;297.187;0
231;1;0.221;14.211;-2.30457;-403.943;1093.46;31183.8;-96.0377;277.198;297.293;0
231;2;0.222;14.2336;-2.30591;-402.846;1044.96;31167.4;-91.926;277.368;297.406;0
231;3;0.223;14.2555;-2.30591;-401.737;993.837;31149.9;-89.2882;277.538;297.526;0
231;4;0.224;14.2768;-2.30462;-400.615;940.265;31131.2;-88.16;277.708;297.653;0
231;5;0.225;14.2975;-2.3021;-399.481;884.406;31111.2;-88.5702;277.879;297.786;0
231;6;0.226;14.3176;-2.2984;-398.336;826.442;31089.9;-90.5408;278.049;297.925;0
231;7;0.227;14.3372;-2.29356;-397.179;766.564;31067.3;-94.0866;278.22;298.07;0
231;8;0.228;14.3562;-2.28762;-396.01;704.971;31043.3;-99.2153;278.39;298.22;0
