Devices
1000
		Imported Bertec Force Plate #1 - Force			Imported Bertec Force Plate #1 - Moment			Imported Bertec Force Plate #1 - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
227	3	12.9661	-0.801718	-434.57	673.877	30898.5	-654.472	271.101	298.449	0
227	4	13.0298	-0.877289	-434.046	726.239	30937.5	-646.129	271.277	298.327	0
227	5	13.09	-0.951875	-433.508	777.952	30974.2	-636.886	271.45	298.205	0
227	6	13.1467	-1.02531	-432.955	828.842	31008.5	-626.757	271.621	298.086	0
227	7	13.2002	-1.09743	-432.387	878.738	31040.5	-615.756	271.789	297.968	0
227	8	13.2505	-1.1681	-431.805	927.471	31070.2	-603.903	271.954	297.852	0
227	9	13.2978	-1.23716	-431.208	974.877	31097.8	-591.222	272.118	297.739	0
228	0	13.3424	-1.30449	-430.595	1020.79	31123.2	-577.743	272.279	297.629	0
228	1	13.3845	-1.36996	-429.968	1065.06	31146.6	-563.5	272.439	297.523	0
228	2	13.4241	-1.43347	-429.326	1107.54	31167.9	-548.529	272.597	297.42	0
228	3	13.4616	-1.49493	-428.668	1148.06	31187.4	-532.875	272.754	297.322	0
228	4	13.4971	-1.55424	-427.995	1186.49	31205.1	-516.583	272.91	297.228	0
228	5	13.5308	-1.61133	-427.307	1222.69	31221	-499.707	273.065	297.139	0
228	6	13.5629	-1.66613	-426.603	1256.53	31235.2	-482.3	273.218	297.055	0
228	7	13.5937	-1.71861	-425.884	1287.87	31247.8	-464.424	273.372	296.976	0
228	8	13.6233	-1.7687	-425.149	1316.6	31258.8	-446.142	273.524	296.903	0
228	9	13.6519	-1.8164	-424.398	1342.61	31268.4	-427.521	273.677	296.836	0
229	0	13.6797	-1.86168	-423.631	1365.77	31276.5	-408.634	273.83	296.776	0
229	1	13.7067	-1.90454	-422.849	1385.98	31283.3	-389.554	273.982	296.722	0
229	2	13.7333	-1.94497	-422.051	1403.16	31288.8	-370.359	274.135	296.675	0
229	3	13.7594	-1.983	-421.237	1417.21	31293.1	-351.129	274.289	296.636	0
229	4	13.7853	-2.01864	-420.407	1428.05	31296.1	-331.948	274.443	296.603	0
229	5	13.811	-2.05192	-419.561	1435.62	31298	-312.9	274.597	296.578	0
229	6	13.8365	-2.08288	-418.699	1439.84	31298.8	-294.071	274.752	296.561	0
229	7	13.862	-2.11155	-417.822	1440.67	31298.4	-275.549	274.909	296.552	0
229	8	13.8875	-2.138	-416.928	1438.06	31297	-257.422	275.066	296.551	0
229	9	13.913	-2.16225	-416.019	1431.98	31294.5	-239.778	275.224	296.558	0
230	0	13.9386	-2.18438	-415.095	1422.42	31291	-222.705	275.383	296.573	0
230	1	13.9641	-2.20444	-414.155	1409.36	31286.5	-206.291	275.543	296.597	0
230	2	13.9897	-2.22248	-413.199	1392.81	31280.9	-190.621	275.704	296.629	0
230	3	14.0152	-2.23857	-412.228	1372.79	31274.3	-175.78	275.867	296.67	0
230	4	14.0407	-2.25277	-411.243	1349.31	31266.7	-161.849	276.03	296.719	0
230	5	14.0659	-2.26514	-410.242	1322.42	31258.1	-148.908	276.194	296.776	0
230	6	14.091	-2.27575	-409.227	1292.18	31248.4	-137.033	276.36	296.842	0
230	7	14.1158	-2.28467	-408.198	1258.66	31237.7	-126.297	276.526	296.917	0
230	8	14.1403	-2.29194	-407.155	1221.92	31225.9	-116.767	276.693	296.999	0
230	9	14.1644	-2.29765	-406.097	1182.07	31213	-108.509	276.861	297.089	0
231	0	14.188	-2.30183	-405.027	1139.21	31198.9	-101.581	277.029	297.187	0
231	1	14.211	-2.30457	-403.943	1093.46	31183.8	-96.0377	277.198	297.293	0
231	2	14.2336	-2.30591	-402.846	1044.96	31167.4	-91.926	277.368	297.406	0
231	3	14.2555	-2.30591	-401.737	993.837	31149.9	-89.2882	277.538	297.526	0
231	4	14.2768	-2.30462	-400.615	940.265	31131.2	-88.16	277.708	297.653	0
231	5	14.2975	-2.3021	-399.481	884.406	31111.2	-88.5702	277.879	297.786	0
231	6	14.3176	-2.2984	-398.336	826.442	31089.9	-90.5408	278.049	297.925	0
231	7	14.3372	-2.29356	-397.179	766.564	31067.3	-94.0866	278.22	298.07	0
231	8	14.3562	-2.28762	-396.01	704.971	31043.3	-99.2153	278.39	298.22	0
231	9	14.3748	-2.28064	-394.831	641.875	31017.9	-105.927	278.56	298.374	0
232	0	14.393	-2.27264	-393.641	577.492	30991.2	-114.215	278.73	298.533	0
232	1	14.411	-2.26366	-392.44	512.046	30962.9	-124.065	278.899	298.695	0
232	2	14.4288	-2.25373	-391.228	445.767	30933.2	-135.455	279.067	298.861	0
232	3	14.4466	-2.24287	-390.006	378.888	30902	-148.357	279.235	299.029	0
232	4	14.4644	-2.23112	-388.773	311.647	30869.2	-162.733	279.401	299.198	0
232	5	14.4825	-2.21849	-387.531	244.279	30834.8	-178.54	279.567	299.37	0
232	6	14.501	-2.20501	-386.278	177.022	30798.8	-195.729	279.732	299.542	0
232	7	14.52	-2.19068	-385.014	110.113	30761.1	-214.244	279.896	299.714	0
232	8	14.5397	-2.17552	-383.741	43.7822	30721.8	-234.022	280.059	299.886	0
232	9	14.5603	-2.15955	-382.458	-21.7411	30680.7	-254.994	280.22	300.057	0
